Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,149,50x50,0.01,N/A,N/A,N/A,N/A,2077,1.47946,1.18567,2.62287e+07,2.62287,1.29325,0.19,"24,29"
vib_new_1,149,50x50,0.01,N/A,N/A,N/A,N/A,1994,1.47946,1.18567,2.18916e+07,2.18916,1.41076,0.2,"25,32"
vib_new_1016,149,50x50,0.01,N/A,N/A,N/A,N/A,1432,1.47946,1.18567,3.22736e+07,3.22736,1.52261,0.19,"26,30"
vib_new_572,149,50x50,0.01,N/A,N/A,N/A,N/A,1314,1.47946,1.18567,2.75280e+07,2.75280,1.26122,0.19,"24,27"
vib_new_262,149,50x50,0.01,N/A,N/A,N/A,N/A,1738,1.47946,1.18567,2.22121e+07,2.22121,1.35058,0.3,"26,25"
vib_new_1455,149,50x50,0.01,N/A,N/A,N/A,N/A,1593,1.47946,1.18567,3.57294e+07,3.57294,2.08472,0.17,"27,28"
vib_new_787,149,50x50,0.01,N/A,N/A,N/A,N/A,1880,1.47946,1.18567,2.90541e+07,2.90541,1.3378,0.17,"24,31"
vib_new_105,149,50x50,0.01,N/A,N/A,N/A,N/A,2429,1.47946,1.18567,2.68431e+07,2.68431,1.70365,0.27,"25,28"
vib_new_511,149,50x50,0.01,N/A,N/A,N/A,N/A,1479,1.47946,1.18567,2.64995e+07,2.64995,1.43566,0.24,"25,31"
vib_new_878,149,50x50,0.01,N/A,N/A,N/A,N/A,1537,1.47946,1.18567,2.51124e+07,2.51124,1.39496,0.15,"26,31"
vib_new_1110,149,50x50,0.01,N/A,N/A,N/A,N/A,1510,1.47946,1.18567,2.82773e+07,2.82773,1.23839,0.18,"25,26"
vib_new_933,149,50x50,0.01,N/A,N/A,N/A,N/A,2704,1.47946,1.18567,2.44878e+07,2.44878,1.56509,0.37,"25,30"
vib_new_582,149,50x50,0.01,N/A,N/A,N/A,N/A,1428,1.47946,1.18567,2.71043e+07,2.71043,1.33279,0.19,"27,28"
vib_new_1241,149,50x50,0.01,N/A,N/A,N/A,N/A,1428,1.47946,1.18567,3.13358e+07,3.13358,1.37041,0.16,"27,29"
vib_new_1191,149,50x50,0.01,N/A,N/A,N/A,N/A,1949,1.47946,1.18567,2.21790e+07,2.21790,1.39288,0.25,"25,28"
vib_new_697,149,50x50,0.01,N/A,N/A,N/A,N/A,1927,1.47946,1.18567,2.16494e+07,2.16494,1.51126,0.21,"26,31"
vib_new_631,149,50x50,0.01,N/A,N/A,N/A,N/A,2021,1.47946,1.18567,2.10496e+07,2.10496,1.5626,0.19,"26,28"
vib_new_777,149,50x50,0.01,N/A,N/A,N/A,N/A,1767,1.47946,1.18567,3.06605e+07,3.06605,1.29346,0.12,"28,32"
vib_new_1183,149,50x50,0.01,N/A,N/A,N/A,N/A,2815,1.47946,1.18567,2.40984e+07,2.40984,1.659,0.26,"25,31"
vib_new_178,149,50x50,0.01,N/A,N/A,N/A,N/A,3081,1.47946,1.18567,1.97006e+07,1.97006,1.8575,0.35,"28,31"
vib_new_199,149,50x50,0.01,N/A,N/A,N/A,N/A,1633,1.47946,1.18567,3.81188e+07,3.81188,2.05879,0.14,"24,31"
vib_new_229,149,50x50,0.01,N/A,N/A,N/A,N/A,2161,1.47946,1.18567,3.24736e+07,3.24736,1.62484,0.23,"24,29"
vib_new_8,149,50x50,0.01,N/A,N/A,N/A,N/A,1304,1.47946,1.18567,2.71559e+07,2.71559,1.70988,0.18,"27,27"
vib_new_192,149,50x50,0.01,N/A,N/A,N/A,N/A,2754,1.47946,1.18567,2.41892e+07,2.41892,1.62763,0.25,"27,26"
vib_new_1112,149,50x50,0.01,N/A,N/A,N/A,N/A,1840,1.47946,1.18567,2.74612e+07,2.74612,1.54393,0.16,"25,27"
vib_new_1117,149,50x50,0.01,N/A,N/A,N/A,N/A,1441,1.47946,1.18567,2.74080e+07,2.74080,1.35676,0.15,"27,31"
vib_new_1136,149,50x50,0.01,N/A,N/A,N/A,N/A,1507,1.47946,1.18567,2.67201e+07,2.67201,1.51758,0.26,"25,31"
vib_new_365,149,50x50,0.01,N/A,N/A,N/A,N/A,2037,1.47946,1.18567,1.96806e+07,1.96806,1.88661,0.25,"26,30"
vib_new_693,149,50x50,0.01,N/A,N/A,N/A,N/A,1500,1.47946,1.18567,2.74953e+07,2.74953,1.31478,0.2,"25,30"
vib_new_341,149,50x50,0.01,N/A,N/A,N/A,N/A,2252,1.47946,1.18567,2.97166e+07,2.97166,1.54126,0.27,"24,29"
vib_new_256,149,50x50,0.01,N/A,N/A,N/A,N/A,1578,1.47946,1.18567,2.77008e+07,2.77008,1.44953,0.22,"25,27"
vib_new_685,149,50x50,0.01,N/A,N/A,N/A,N/A,2433,1.47946,1.18567,3.12347e+07,3.12347,1.67965,0.26,"25,28"
vib_new_1342,149,50x50,0.01,N/A,N/A,N/A,N/A,2443,1.47946,1.18567,2.27784e+07,2.27784,1.74177,0.34,"24,30"
vib_new_1070,149,50x50,0.01,N/A,N/A,N/A,N/A,1739,1.47946,1.18567,2.46582e+07,2.46582,1.31108,0.15,"26,30"
vib_new_931,149,50x50,0.01,N/A,N/A,N/A,N/A,1585,1.47946,1.18567,2.84247e+07,2.84247,1.57717,0.18,"27,30"
vib_new_705,149,50x50,0.01,N/A,N/A,N/A,N/A,1938,1.47946,1.18567,2.03767e+07,2.03767,1.43165,0.25,"26,30"
vib_new_380,149,50x50,0.01,N/A,N/A,N/A,N/A,1655,1.47946,1.18567,3.23819e+07,3.23819,1.30959,0.19,"25,32"
vib_new_275,149,50x50,0.01,N/A,N/A,N/A,N/A,1660,1.47946,1.18567,2.52221e+07,2.52221,1.31192,0.24,"25,32"
vib_new_908,149,50x50,0.01,N/A,N/A,N/A,N/A,2983,1.47946,1.18567,2.46039e+07,2.46039,1.88907,0.28,"25,31"
vib_new_742,149,50x50,0.01,N/A,N/A,N/A,N/A,1727,1.47946,1.18567,2.78926e+07,2.78926,1.28661,0.17,"25,29"
vib_new_1036,149,50x50,0.01,N/A,N/A,N/A,N/A,1607,1.47946,1.18567,3.07654e+07,3.07654,1.39844,0.2,"24,27"
vib_new_1211,149,50x50,0.01,N/A,N/A,N/A,N/A,1362,1.47946,1.18567,3.07367e+07,3.07367,1.41744,0.16,"25,30"
vib_new_88,149,50x50,0.01,N/A,N/A,N/A,N/A,1466,1.47946,1.18567,2.79766e+07,2.79766,1.43512,0.18,"26,29"
vib_new_1479,149,50x50,0.01,N/A,N/A,N/A,N/A,1887,1.47946,1.18567,2.75689e+07,2.75689,1.38301,0.17,"24,33"
vib_new_808,149,50x50,0.01,N/A,N/A,N/A,N/A,1870,1.47946,1.18567,2.15545e+07,2.15545,1.4579,0.36,"26,26"
vib_new_1404,149,50x50,0.01,N/A,N/A,N/A,N/A,1345,1.47946,1.18567,2.54591e+07,2.54591,1.35104,0.21,"25,31"
vib_new_1076,149,50x50,0.01,N/A,N/A,N/A,N/A,1354,1.47946,1.18567,3.22550e+07,3.22550,1.27258,0.16,"24,31"
vib_new_811,149,50x50,0.01,N/A,N/A,N/A,N/A,1478,1.47946,1.18567,2.23330e+07,2.23330,1.38294,0.21,"26,26"
vib_new_1219,149,50x50,0.01,N/A,N/A,N/A,N/A,1444,1.47946,1.18567,3.49903e+07,3.49903,1.36637,0.17,"26,29"
vib_new_1409,149,50x50,0.01,N/A,N/A,N/A,N/A,1664,1.47946,1.18567,2.29636e+07,2.29636,1.42563,0.2,"27,31"
vib_new_136,149,50x50,0.01,N/A,N/A,N/A,N/A,1528,1.47946,1.18567,2.77793e+07,2.77793,1.29338,0.17,"23,28"
vib_new_794,149,50x50,0.01,N/A,N/A,N/A,N/A,1818,1.47946,1.18567,2.85417e+07,2.85417,1.34043,0.18,"25,32"
vib_new_918,149,50x50,0.01,N/A,N/A,N/A,N/A,1639,1.47946,1.18567,3.22463e+07,3.22463,1.26327,0.16,"26,31"
vib_new_568,149,50x50,0.01,N/A,N/A,N/A,N/A,1829,1.47946,1.18567,2.02506e+07,2.02506,1.33313,0.21,"28,29"
vib_new_1425,149,50x50,0.01,N/A,N/A,N/A,N/A,1859,1.47946,1.18567,3.44750e+07,3.44750,1.34214,0.094,"24,30"
vib_new_713,149,50x50,0.01,N/A,N/A,N/A,N/A,2212,1.47946,1.18567,3.07745e+07,3.07745,1.4213,0.16,"26,30"
vib_new_391,149,50x50,0.01,N/A,N/A,N/A,N/A,1777,1.47946,1.18567,3.07683e+07,3.07683,1.41201,0.16,"26,31"
vib_new_1481,149,50x50,0.01,N/A,N/A,N/A,N/A,1672,1.47946,1.18567,2.69665e+07,2.69665,1.53164,0.3,"27,28"
vib_new_852,149,50x50,0.01,N/A,N/A,N/A,N/A,1649,1.47946,1.18567,2.60784e+07,2.60784,1.40016,0.26,"24,31"
vib_new_1422,149,50x50,0.01,N/A,N/A,N/A,N/A,1675,1.47946,1.18567,2.52389e+07,2.52389,1.26704,0.16,"25,31"
