Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1404,5961,50x50,0.34,N/A,N/A,N/A,N/A,82129,1.47946,4.48402,2.54591e+07,2.54591,4.63275,0.52,"25,28"
vib_new_1076,5961,50x50,0.34,N/A,N/A,N/A,N/A,85603,1.47946,4.48402,3.22550e+07,3.22550,4.68463,0.38,"23,31"
vib_new_811,5961,50x50,0.34,N/A,N/A,N/A,N/A,99318,1.47946,4.48402,2.23330e+07,2.23330,4.87019,0.6,"24,29"
vib_new_1219,5961,50x50,0.34,N/A,N/A,N/A,N/A,84581,1.47946,4.48402,3.49903e+07,3.49903,4.74427,0.35,"22,30"
vib_new_1409,5961,50x50,0.34,N/A,N/A,N/A,N/A,112421,1.47946,4.48402,2.29636e+07,2.29636,4.77296,0.69,"24,25"
vib_new_136,5961,50x50,0.34,N/A,N/A,N/A,N/A,99647,1.47946,4.48402,2.77793e+07,2.77793,4.78921,0.45,"23,17"
vib_new_794,5961,50x50,0.34,N/A,N/A,N/A,N/A,119692,1.47946,4.48402,2.85417e+07,2.85417,4.77855,0.47,"27,21"
vib_new_918,5961,50x50,0.34,N/A,N/A,N/A,N/A,100844,1.47946,4.48402,3.22463e+07,3.22463,4.79645,0.37,"26,29"
vib_new_568,5961,50x50,0.34,N/A,N/A,N/A,N/A,148829,1.47946,4.48402,2.02506e+07,2.02506,4.96519,0.69,"20,30"
vib_new_1425,5961,50x50,0.34,N/A,N/A,N/A,N/A,104022,1.47946,4.48402,3.44750e+07,3.44750,4.80893,0.43,"24,32"
vib_new_713,5961,50x50,0.34,N/A,N/A,N/A,N/A,119038,1.47946,4.48402,3.07745e+07,3.07745,5.31977,0.48,"25,27"
vib_new_391,5961,50x50,0.34,N/A,N/A,N/A,N/A,114437,1.47946,4.48402,3.07683e+07,3.07683,4.99361,0.46,"27,20"
vib_new_1481,5961,50x50,0.34,N/A,N/A,N/A,N/A,102175,1.47946,4.48402,2.69665e+07,2.69665,4.80488,0.58,"24,24"
vib_new_852,5961,50x50,0.34,N/A,N/A,N/A,N/A,100408,1.47946,4.48402,2.60784e+07,2.60784,4.78743,0.52,"22,24"
vib_new_1422,5961,50x50,0.34,N/A,N/A,N/A,N/A,111777,1.47946,4.48402,2.52389e+07,2.52389,4.72675,0.43,"17,29"
vib_new_34,5961,50x50,0.34,N/A,N/A,N/A,N/A,155568,1.47946,4.48402,2.28416e+07,2.28416,6.0949,0.76,"27,21"
vib_new_671,5961,50x50,0.34,N/A,N/A,N/A,N/A,139730,1.47946,4.48402,2.04622e+07,2.04622,4.85683,0.75,"25,20"
vib_new_154,5961,50x50,0.34,N/A,N/A,N/A,N/A,109222,1.47946,4.48402,3.07859e+07,3.07859,4.73635,0.42,"28,18"
vib_new_717,5961,50x50,0.34,N/A,N/A,N/A,N/A,119747,1.47946,4.48402,2.25212e+07,2.25212,4.65366,0.59,"27,25"
vib_new_819,5961,50x50,0.34,N/A,N/A,N/A,N/A,75910,1.47946,4.48402,4.11676e+07,4.11676,4.71521,0.36,"21,22"
