Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1211,124,50x50,0.04,N/A,N/A,N/A,N/A,1742,1.47946,4.48226,3.07367e+07,3.07367,2.12764,0.1,"25,5"
vib_new_88,124,50x50,0.04,N/A,N/A,N/A,N/A,1900,1.47946,4.48226,2.79766e+07,2.79766,2.15898,0.15,"27,8"
vib_new_1479,124,50x50,0.04,N/A,N/A,N/A,N/A,1681,1.47946,4.48226,2.75689e+07,2.75689,2.15186,0.097,"26,7"
vib_new_808,124,50x50,0.04,N/A,N/A,N/A,N/A,2384,1.47946,4.48226,2.15545e+07,2.15545,2.09626,0.12,"28,6"
vib_new_1404,124,50x50,0.04,N/A,N/A,N/A,N/A,1760,1.47946,4.48226,2.54591e+07,2.54591,2.43308,0.12,"24,3"
vib_new_1076,124,50x50,0.04,N/A,N/A,N/A,N/A,2012,1.47946,4.48226,3.22550e+07,3.22550,1.72118,0.12,"25,7"
vib_new_811,124,50x50,0.04,N/A,N/A,N/A,N/A,1757,1.47946,4.48226,2.23330e+07,2.23330,2.413,0.18,"24,7"
vib_new_1219,124,50x50,0.04,N/A,N/A,N/A,N/A,2141,1.47946,4.48226,3.49903e+07,3.49903,1.83134,0.12,"25,7"
vib_new_1409,124,50x50,0.04,N/A,N/A,N/A,N/A,1888,1.47946,4.48226,2.29636e+07,2.29636,2.2984,0.16,"27,7"
vib_new_136,124,50x50,0.04,N/A,N/A,N/A,N/A,2256,1.47946,4.48226,2.77793e+07,2.77793,1.90345,0.084,"27,13"
vib_new_794,124,50x50,0.04,N/A,N/A,N/A,N/A,1892,1.47946,4.48226,2.85417e+07,2.85417,1.75358,0.13,"28,6"
vib_new_918,124,50x50,0.04,N/A,N/A,N/A,N/A,2261,1.47946,4.48226,3.22463e+07,3.22463,1.98782,0.11,"27,11"
vib_new_568,124,50x50,0.04,N/A,N/A,N/A,N/A,2765,1.47946,4.48226,2.02506e+07,2.02506,2.07172,0.16,"26,13"
vib_new_1425,124,50x50,0.04,N/A,N/A,N/A,N/A,2108,1.47946,4.48226,3.44750e+07,3.44750,2.78114,0.16,"30,11"
vib_new_713,124,50x50,0.04,N/A,N/A,N/A,N/A,1989,1.47946,4.48226,3.07745e+07,3.07745,1.606,0.16,"23,10"
vib_new_391,124,50x50,0.04,N/A,N/A,N/A,N/A,2582,1.47946,4.48226,3.07683e+07,3.07683,2.43358,0.16,"25,7"
vib_new_1481,124,50x50,0.04,N/A,N/A,N/A,N/A,1698,1.47946,4.48226,2.69665e+07,2.69665,2.04274,0.2,"30,7"
vib_new_852,124,50x50,0.04,N/A,N/A,N/A,N/A,1934,1.47946,4.48226,2.60784e+07,2.60784,2.71375,0.13,"32,19"
vib_new_1422,124,50x50,0.04,N/A,N/A,N/A,N/A,1998,1.47946,4.48226,2.52389e+07,2.52389,2.11002,0.14,"25,3"
vib_new_34,124,50x50,0.04,N/A,N/A,N/A,N/A,2966,1.47946,4.48226,2.28416e+07,2.28416,2.34746,0.19,"28,13"
vib_new_45,124,50x50,0.04,N/A,N/A,N/A,N/A,4208,1.47946,4.48226,2.06187e+07,2.06187,2.02746,0.25,"27,12"
vib_new_671,124,50x50,0.04,N/A,N/A,N/A,N/A,1076,1.47946,4.48226,2.04622e+07,2.04622,1.47593,0.18,"29,4"
vib_new_154,124,50x50,0.04,N/A,N/A,N/A,N/A,2749,1.47946,4.48226,3.07859e+07,3.07859,2.05034,0.086,"26,5"
vib_new_717,124,50x50,0.04,N/A,N/A,N/A,N/A,2780,1.47946,4.48226,2.25212e+07,2.25212,1.97179,0.14,"28,13"
vib_new_819,124,50x50,0.04,N/A,N/A,N/A,N/A,1282,1.47946,4.48226,4.11676e+07,4.11676,2.6281,0.083,"28,2"
vib_new_1233,124,50x50,0.04,N/A,N/A,N/A,N/A,2085,1.47946,4.48226,2.87214e+07,2.87214,1.86341,0.12,"28,4"
vib_new_924,124,50x50,0.04,N/A,N/A,N/A,N/A,2476,1.47946,4.48226,3.60474e+07,3.60474,2.29446,0.083,"36,0"
vib_new_634,124,50x50,0.04,N/A,N/A,N/A,N/A,1828,1.47946,4.48226,3.67107e+07,3.67107,2.70685,0.12,"28,3"
vib_new_394,124,50x50,0.04,N/A,N/A,N/A,N/A,1447,1.47946,4.48226,3.19829e+07,3.19829,2.27248,0.13,"24,6"
vib_new_641,124,50x50,0.04,N/A,N/A,N/A,N/A,1810,1.47946,4.48226,2.19376e+07,2.19376,2.36266,0.14,"27,5"
vib_new_775,124,50x50,0.04,N/A,N/A,N/A,N/A,2205,1.47946,4.48226,2.77036e+07,2.77036,2.41342,0.13,"28,12"
vib_new_1403,124,50x50,0.04,N/A,N/A,N/A,N/A,3579,1.47946,4.48226,2.40648e+07,2.40648,2.07994,0.19,"27,8"
vib_new_1378,124,50x50,0.04,N/A,N/A,N/A,N/A,2150,1.47946,4.48226,2.27972e+07,2.27972,2.02442,0.11,"26,9"
vib_new_58,124,50x50,0.04,N/A,N/A,N/A,N/A,2420,1.47946,4.48226,2.25359e+07,2.25359,2.13704,0.18,"26,9"
vib_new_534,124,50x50,0.04,N/A,N/A,N/A,N/A,2607,1.47946,4.48226,2.82591e+07,2.82591,2.12309,0.18,"27,14"
vib_new_858,124,50x50,0.04,N/A,N/A,N/A,N/A,2911,1.47946,4.48226,3.72020e+07,3.72020,2.31141,0.11,"24,5"
vib_new_246,124,50x50,0.04,N/A,N/A,N/A,N/A,1671,1.47946,4.48226,2.52541e+07,2.52541,2.302,0.12,"26,7"
vib_new_864,124,50x50,0.04,N/A,N/A,N/A,N/A,1824,1.47946,4.48226,2.69394e+07,2.69394,2.94541,0.17,"24,2"
vib_new_929,124,50x50,0.04,N/A,N/A,N/A,N/A,2510,1.47946,4.48226,2.15569e+07,2.15569,2.45688,0.16,"27,12"
vib_new_1301,124,50x50,0.04,N/A,N/A,N/A,N/A,1537,1.47946,4.48226,2.87074e+07,2.87074,2.33194,0.13,"28,7"
vib_new_850,124,50x50,0.04,N/A,N/A,N/A,N/A,2714,1.47946,4.48226,2.37152e+07,2.37152,1.8898,0.12,"32,25"
vib_new_624,124,50x50,0.04,N/A,N/A,N/A,N/A,2279,1.47946,4.48226,3.24163e+07,3.24163,2.41404,0.11,"28,11"
