Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,311,50x50,0.03,N/A,N/A,N/A,N/A,13084,1.47946,4.24355,2.62287e+07,2.62287,12.7163,0.31,"19,27"
vib_new_1,311,50x50,0.03,N/A,N/A,N/A,N/A,11899,1.47946,4.24355,2.18916e+07,2.18916,12.5877,0.39,"16,27"
vib_new_1016,311,50x50,0.03,N/A,N/A,N/A,N/A,8620,1.47946,4.24355,3.22736e+07,3.22736,12.4957,0.31,"17,28"
vib_new_572,311,50x50,0.03,N/A,N/A,N/A,N/A,8750,1.47946,4.24355,2.75280e+07,2.75280,12.1435,0.34,"18,24"
vib_new_262,311,50x50,0.03,N/A,N/A,N/A,N/A,11471,1.47946,4.24355,2.22121e+07,2.22121,12.4515,0.33,"19,24"
vib_new_1455,311,50x50,0.03,N/A,N/A,N/A,N/A,9548,1.47946,4.24355,3.57294e+07,3.57294,12.5553,0.29,"18,26"
vib_new_787,311,50x50,0.03,N/A,N/A,N/A,N/A,9698,1.47946,4.24355,2.90541e+07,2.90541,12.5051,0.32,"19,24"
vib_new_105,311,50x50,0.03,N/A,N/A,N/A,N/A,11730,1.47946,4.24355,2.68431e+07,2.68431,13.2445,0.31,"17,29"
vib_new_511,311,50x50,0.03,N/A,N/A,N/A,N/A,8468,1.47946,4.24355,2.64995e+07,2.64995,12.7745,0.4,"16,32"
vib_new_878,311,50x50,0.03,N/A,N/A,N/A,N/A,8953,1.47946,4.24355,2.51124e+07,2.51124,12.6055,0.34,"16,27"
vib_new_1110,311,50x50,0.03,N/A,N/A,N/A,N/A,8564,1.47946,4.24355,2.82773e+07,2.82773,12.4318,0.3,"18,24"
vib_new_933,311,50x50,0.03,N/A,N/A,N/A,N/A,12218,1.47946,4.24355,2.44878e+07,2.44878,12.9242,0.54,"16,27"
vib_new_582,311,50x50,0.03,N/A,N/A,N/A,N/A,8651,1.47946,4.24355,2.71043e+07,2.71043,12.3524,0.31,"13,24"
vib_new_1241,311,50x50,0.03,N/A,N/A,N/A,N/A,9803,1.47946,4.24355,3.13358e+07,3.13358,12.6542,0.32,"19,28"
