Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1076,9178,50x50,0.70,N/A,N/A,N/A,N/A,111937,1.47946,1.00693,3.22550e+07,3.22550,3.90163,0.32,"30,13"
vib_new_811,9178,50x50,0.70,N/A,N/A,N/A,N/A,113537,1.47946,1.00693,2.23330e+07,2.23330,3.99153,0.41,"36,16"
vib_new_1219,9178,50x50,0.70,N/A,N/A,N/A,N/A,110909,1.47946,1.00693,3.49903e+07,3.49903,3.75747,0.28,"36,35"
vib_new_1409,9178,50x50,0.70,N/A,N/A,N/A,N/A,119659,1.47946,1.00693,2.29636e+07,2.29636,4.02275,0.48,"26,14"
vib_new_136,9178,50x50,0.70,N/A,N/A,N/A,N/A,118199,1.47946,1.00693,2.77793e+07,2.77793,3.97959,0.34,"19,34"
vib_new_794,9178,50x50,0.70,N/A,N/A,N/A,N/A,141573,1.47946,1.00693,2.85417e+07,2.85417,3.79421,0.39,"40,15"
vib_new_918,9178,50x50,0.70,N/A,N/A,N/A,N/A,129268,1.47946,1.00693,3.22463e+07,3.22463,3.93815,0.34,"24,30"
vib_new_568,9178,50x50,0.70,N/A,N/A,N/A,N/A,137907,1.47946,1.00693,2.02506e+07,2.02506,3.84171,0.43,"33,32"
vib_new_1425,9178,50x50,0.70,N/A,N/A,N/A,N/A,124430,1.47946,1.00693,3.44750e+07,3.44750,3.86893,0.35,"29,17"
vib_new_713,9178,50x50,0.70,N/A,N/A,N/A,N/A,133724,1.47946,1.00693,3.07745e+07,3.07745,3.88741,0.34,"18,32"
vib_new_391,9178,50x50,0.70,N/A,N/A,N/A,N/A,130983,1.47946,1.00693,3.07683e+07,3.07683,3.83575,0.3,"11,34"
vib_new_1481,9178,50x50,0.70,N/A,N/A,N/A,N/A,126491,1.47946,1.00693,2.69665e+07,2.69665,4.02893,0.48,"25,12"
vib_new_852,9178,50x50,0.70,N/A,N/A,N/A,N/A,120896,1.47946,1.00693,2.60784e+07,2.60784,3.95815,0.37,"29,26"
vib_new_1422,9178,50x50,0.70,N/A,N/A,N/A,N/A,130930,1.47946,1.00693,2.52389e+07,2.52389,3.82473,0.38,"10,26"
vib_new_34,9178,50x50,0.70,N/A,N/A,N/A,N/A,167000,1.47946,1.00693,2.28416e+07,2.28416,4.12843,0.54,"26,26"
vib_new_671,9178,50x50,0.70,N/A,N/A,N/A,N/A,134333,1.47946,1.00693,2.04622e+07,2.04622,3.88641,0.53,"7,28"
vib_new_154,9178,50x50,0.70,N/A,N/A,N/A,N/A,134711,1.47946,1.00693,3.07859e+07,3.07859,3.95749,0.37,"30,41"
vib_new_717,9178,50x50,0.70,N/A,N/A,N/A,N/A,134543,1.47946,1.00693,2.25212e+07,2.25212,3.83126,0.46,"23,10"
vib_new_819,9178,50x50,0.70,N/A,N/A,N/A,N/A,104385,1.47946,1.00693,4.11676e+07,4.11676,4.22721,0.3,"21,25"
vib_new_1233,9178,50x50,0.70,N/A,N/A,N/A,N/A,160068,1.47946,1.00693,2.87214e+07,2.87214,3.80634,0.38,"29,18"
vib_new_924,9178,50x50,0.70,N/A,N/A,N/A,N/A,116016,1.47946,1.00693,3.60474e+07,3.60474,4.17525,0.33,"29,21"
vib_new_634,9178,50x50,0.70,N/A,N/A,N/A,N/A,109773,1.47946,1.00693,3.67107e+07,3.67107,3.88399,0.33,"36,28"
vib_new_394,9178,50x50,0.70,N/A,N/A,N/A,N/A,106062,1.47946,1.00693,3.19829e+07,3.19829,4.02422,0.37,"34,10"
vib_new_641,9178,50x50,0.70,N/A,N/A,N/A,N/A,109814,1.47946,1.00693,2.19376e+07,2.19376,3.92223,0.38,"19,29"
vib_new_775,9178,50x50,0.70,N/A,N/A,N/A,N/A,126398,1.47946,1.00693,2.77036e+07,2.77036,3.92585,0.34,"17,21"
vib_new_1403,9178,50x50,0.70,N/A,N/A,N/A,N/A,215836,1.47946,1.00693,2.40648e+07,2.40648,3.96595,0.48,"26,23"
vib_new_1378,9178,50x50,0.70,N/A,N/A,N/A,N/A,145689,1.47946,1.00693,2.27972e+07,2.27972,3.92676,0.41,"27,34"
vib_new_58,9178,50x50,0.70,N/A,N/A,N/A,N/A,148082,1.47946,1.00693,2.25359e+07,2.25359,3.80771,0.54,"36,11"
vib_new_858,9178,50x50,0.70,N/A,N/A,N/A,N/A,116255,1.47946,1.00693,3.72020e+07,3.72020,3.97295,0.36,"35,23"
vib_new_246,9178,50x50,0.70,N/A,N/A,N/A,N/A,119510,1.47946,1.00693,2.52541e+07,2.52541,3.90743,0.35,"27,8"
vib_new_864,9178,50x50,0.70,N/A,N/A,N/A,N/A,114334,1.47946,1.00693,2.69394e+07,2.69394,4.24341,0.4,"18,31"
vib_new_929,9178,50x50,0.70,N/A,N/A,N/A,N/A,141242,1.47946,1.00693,2.15569e+07,2.15569,3.89753,0.51,"22,4"
vib_new_1301,9178,50x50,0.70,N/A,N/A,N/A,N/A,124357,1.47946,1.00693,2.87074e+07,2.87074,3.87911,0.31,"11,29"
vib_new_850,9178,50x50,0.70,N/A,N/A,N/A,N/A,124930,1.47946,1.00693,2.37152e+07,2.37152,3.82239,0.45,"29,10"
vib_new_624,9178,50x50,0.70,N/A,N/A,N/A,N/A,119275,1.47946,1.00693,3.24163e+07,3.24163,4.09827,0.31,"29,33"
vib_new_120,9178,50x50,0.70,N/A,N/A,N/A,N/A,111661,1.47946,1.00693,2.56905e+07,2.56905,3.86643,0.42,"29,47"
vib_new_750,9178,50x50,0.70,N/A,N/A,N/A,N/A,123688,1.47946,1.00693,2.38367e+07,2.38367,3.84397,0.36,"29,33"
vib_new_553,9178,50x50,0.70,N/A,N/A,N/A,N/A,133102,1.47946,1.00693,2.56211e+07,2.56211,3.84953,0.38,"25,19"
vib_new_145,9178,50x50,0.70,N/A,N/A,N/A,N/A,119992,1.47946,1.00693,3.48137e+07,3.48137,3.98249,0.35,"37,30"
vib_new_524,9178,50x50,0.70,N/A,N/A,N/A,N/A,177225,1.47946,1.00693,1.90181e+07,1.90181,4.28585,0.52,"26,47"
vib_new_1361,9178,50x50,0.70,N/A,N/A,N/A,N/A,110797,1.47946,1.00693,3.07815e+07,3.07815,4.19428,0.3,"25,31"
vib_new_461,9178,50x50,0.70,N/A,N/A,N/A,N/A,128990,1.47946,1.00693,3.26816e+07,3.26816,3.83819,0.31,"27,35"
vib_new_746,9178,50x50,0.70,N/A,N/A,N/A,N/A,149694,1.47946,1.00693,2.27907e+07,2.27907,3.94853,0.43,"29,36"
vib_new_112,9178,50x50,0.70,N/A,N/A,N/A,N/A,202029,1.47946,1.00693,2.50029e+07,2.50029,3.91125,0.52,"37,8"
vib_new_89,9178,50x50,0.70,N/A,N/A,N/A,N/A,130450,1.47946,1.00693,3.10359e+07,3.10359,4.12347,0.43,"31,15"
vib_new_106,9178,50x50,0.70,N/A,N/A,N/A,N/A,125883,1.47946,1.00693,2.46650e+07,2.46650,3.85631,0.48,"27,7"
vib_new_148,9178,50x50,0.70,N/A,N/A,N/A,N/A,147054,1.47946,1.00693,2.99149e+07,2.99149,4.02332,0.54,"39,23"
vib_new_467,9178,50x50,0.70,N/A,N/A,N/A,N/A,139332,1.47946,1.00693,2.32185e+07,2.32185,3.87353,0.48,"24,12"
vib_new_1462,9178,50x50,0.70,N/A,N/A,N/A,N/A,110484,1.47946,1.00693,3.50292e+07,3.50292,4.04805,0.35,"33,11"
vib_new_92,9178,50x50,0.70,N/A,N/A,N/A,N/A,132382,1.47946,1.00693,2.68895e+07,2.68895,4.10092,0.35,"12,19"
vib_new_959,9178,50x50,0.70,N/A,N/A,N/A,N/A,184286,1.47946,1.00693,1.88568e+07,1.88568,3.93795,0.49,"24,14"
vib_new_1238,9178,50x50,0.70,N/A,N/A,N/A,N/A,112474,1.47946,1.00693,2.66520e+07,2.66520,4.07449,0.42,"28,34"
vib_new_374,9178,50x50,0.70,N/A,N/A,N/A,N/A,152929,1.47946,1.00693,2.76681e+07,2.76681,3.91841,0.39,"25,20"
vib_new_987,9178,50x50,0.70,N/A,N/A,N/A,N/A,109412,1.47946,1.00693,2.59526e+07,2.59526,4.06601,0.46,"27,19"
vib_new_1491,9178,50x50,0.70,N/A,N/A,N/A,N/A,123144,1.47946,1.00693,3.19650e+07,3.19650,3.93,0.33,"18,7"
vib_new_1490,9178,50x50,0.70,N/A,N/A,N/A,N/A,126835,1.47946,1.00693,3.17415e+07,3.17415,4.31394,0.37,"26,45"
vib_new_873,9178,50x50,0.70,N/A,N/A,N/A,N/A,155532,1.47946,1.00693,3.11159e+07,3.11159,3.77315,0.47,"26,19"
vib_new_625,9178,50x50,0.70,N/A,N/A,N/A,N/A,168232,1.47946,1.00693,2.49040e+07,2.49040,3.95541,0.49,"24,33"
vib_new_1024,9178,50x50,0.70,N/A,N/A,N/A,N/A,114057,1.47946,1.00693,2.65348e+07,2.65348,3.82436,0.41,"13,21"
vib_new_653,9178,50x50,0.70,N/A,N/A,N/A,N/A,120225,1.47946,1.00693,2.26961e+07,2.26961,3.83593,0.51,"19,26"
vib_new_674,9178,50x50,0.70,N/A,N/A,N/A,N/A,115172,1.47946,1.00693,2.41110e+07,2.41110,3.88633,0.44,"34,33"
vib_new_977,9178,50x50,0.70,N/A,N/A,N/A,N/A,116978,1.47946,1.00693,3.22863e+07,3.22863,4.14811,0.27,"28,13"
vib_new_266,9178,50x50,0.70,N/A,N/A,N/A,N/A,111437,1.47946,1.00693,2.94934e+07,2.94934,4.04615,0.33,"21,21"
vib_new_40,9178,50x50,0.70,N/A,N/A,N/A,N/A,133213,1.47946,1.00693,2.47954e+07,2.47954,3.87963,0.49,"42,11"
vib_new_458,9178,50x50,0.70,N/A,N/A,N/A,N/A,117975,1.47946,1.00693,2.51814e+07,2.51814,3.96565,0.47,"21,15"
vib_new_885,9178,50x50,0.70,N/A,N/A,N/A,N/A,134997,1.47946,1.00693,2.43979e+07,2.43979,4.10387,0.56,"27,20"
vib_new_1257,9178,50x50,0.70,N/A,N/A,N/A,N/A,163132,1.47946,1.00693,1.80547e+07,1.80547,3.89238,0.52,"24,34"
vib_new_995,9178,50x50,0.70,N/A,N/A,N/A,N/A,113448,1.47946,1.00693,2.93327e+07,2.93327,3.87969,0.45,"19,46"
vib_new_347,9178,50x50,0.70,N/A,N/A,N/A,N/A,127113,1.47946,1.00693,3.03172e+07,3.03172,4.0077,0.35,"29,25"
vib_new_960,9178,50x50,0.70,N/A,N/A,N/A,N/A,115129,1.47946,1.00693,3.81256e+07,3.81256,4.00186,0.38,"27,32"
vib_new_284,9178,50x50,0.70,N/A,N/A,N/A,N/A,124692,1.47946,1.00693,2.63710e+07,2.63710,4.04035,0.35,"25,30"
vib_new_260,9178,50x50,0.70,N/A,N/A,N/A,N/A,127638,1.47946,1.00693,2.59596e+07,2.59596,4.22841,0.43,"15,16"
vib_new_386,9178,50x50,0.70,N/A,N/A,N/A,N/A,124339,1.47946,1.00693,3.30862e+07,3.30862,3.82632,0.39,"31,38"
vib_new_1486,9178,50x50,0.70,N/A,N/A,N/A,N/A,116835,1.47946,1.00693,2.94495e+07,2.94495,3.91001,0.35,"12,32"
vib_new_51,9178,50x50,0.70,N/A,N/A,N/A,N/A,122852,1.47946,1.00693,2.02855e+07,2.02855,4.04917,0.42,"27,30"
vib_new_472,9178,50x50,0.70,N/A,N/A,N/A,N/A,111327,1.47946,1.00693,3.48077e+07,3.48077,3.98712,0.42,"27,11"
vib_new_611,9178,50x50,0.70,N/A,N/A,N/A,N/A,114069,1.47946,1.00693,2.61576e+07,2.61576,3.88273,0.39,"36,30"
vib_new_1200,9178,50x50,0.70,N/A,N/A,N/A,N/A,114454,1.47946,1.00693,2.61581e+07,2.61581,3.80978,0.43,"29,10"
vib_new_1075,9178,50x50,0.70,N/A,N/A,N/A,N/A,127506,1.47946,1.00693,2.12753e+07,2.12753,3.91435,0.47,"36,30"
vib_new_688,9178,50x50,0.70,N/A,N/A,N/A,N/A,116268,1.47946,1.00693,2.66749e+07,2.66749,3.88433,0.43,"27,18"
vib_new_935,9178,50x50,0.70,N/A,N/A,N/A,N/A,137882,1.47946,1.00693,3.39819e+07,3.39819,4.18776,0.4,"29,21"
vib_new_52,9178,50x50,0.70,N/A,N/A,N/A,N/A,128620,1.47946,1.00693,2.42302e+07,2.42302,3.9408,0.42,"30,33"
vib_new_559,9178,50x50,0.70,N/A,N/A,N/A,N/A,114170,1.47946,1.00693,2.22827e+07,2.22827,3.94343,0.38,"20,25"
vib_new_950,9178,50x50,0.70,N/A,N/A,N/A,N/A,136932,1.47946,1.00693,2.33844e+07,2.33844,3.9656,0.52,"30,30"
vib_new_164,9178,50x50,0.70,N/A,N/A,N/A,N/A,115467,1.47946,1.00693,2.57864e+07,2.57864,3.83596,0.32,"30,28"
vib_new_925,9178,50x50,0.70,N/A,N/A,N/A,N/A,145995,1.47946,1.00693,2.69677e+07,2.69677,3.99297,0.45,"25,16"
vib_new_299,9178,50x50,0.70,N/A,N/A,N/A,N/A,130155,1.47946,1.00693,3.09874e+07,3.09874,3.92501,0.36,"27,25"
vib_new_1116,9178,50x50,0.70,N/A,N/A,N/A,N/A,133868,1.47946,1.00693,2.08890e+07,2.08890,3.94111,0.45,"38,30"
vib_new_202,9178,50x50,0.70,N/A,N/A,N/A,N/A,135625,1.47946,1.00693,3.17751e+07,3.17751,3.82701,0.3,"34,21"
vib_new_363,9178,50x50,0.70,N/A,N/A,N/A,N/A,130611,1.47946,1.00693,2.38372e+07,2.38372,3.81491,0.44,"27,26"
vib_new_876,9178,50x50,0.70,N/A,N/A,N/A,N/A,153113,1.47946,1.00693,2.37932e+07,2.37932,3.90015,0.47,"16,30"
vib_new_502,9178,50x50,0.70,N/A,N/A,N/A,N/A,163567,1.47946,1.00693,2.32226e+07,2.32226,3.82968,0.43,"22,15"
vib_new_934,9178,50x50,0.70,N/A,N/A,N/A,N/A,123119,1.47946,1.00693,2.02773e+07,2.02773,4.05215,0.5,"30,5"
vib_new_821,9178,50x50,0.70,N/A,N/A,N/A,N/A,177929,1.47946,1.00693,2.35982e+07,2.35982,3.88521,0.42,"29,34"
vib_new_1008,9178,50x50,0.70,N/A,N/A,N/A,N/A,103871,1.47946,1.00693,2.63782e+07,2.63782,4.24341,0.41,"30,17"
