Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_819,12276,50x50,0.75,N/A,N/A,N/A,N/A,207995,1.47946,1.0756,4.11676e+07,4.11676,10.1318,0.51,"27,17"
vib_new_1233,12276,50x50,0.75,N/A,N/A,N/A,N/A,349898,1.47946,1.0756,2.87214e+07,2.87214,10.0985,0.67,"27,26"
vib_new_924,12276,50x50,0.75,N/A,N/A,N/A,N/A,255840,1.47946,1.0756,3.60474e+07,3.60474,10.6198,0.59,"31,24"
vib_new_634,12276,50x50,0.75,N/A,N/A,N/A,N/A,228033,1.47946,1.0756,3.67107e+07,3.67107,9.8858,0.46,"34,36"
vib_new_394,12276,50x50,0.75,N/A,N/A,N/A,N/A,226578,1.47946,1.0756,3.19829e+07,3.19829,9.45172,0.63,"31,30"
vib_new_641,12276,50x50,0.75,N/A,N/A,N/A,N/A,316094,1.47946,1.0756,2.19376e+07,2.19376,12.4079,0.76,"31,27"
vib_new_775,12276,50x50,0.75,N/A,N/A,N/A,N/A,292564,1.47946,1.0756,2.77036e+07,2.77036,10.6716,0.59,"38,32"
vib_new_1378,12276,50x50,0.75,N/A,N/A,N/A,N/A,396712,1.47946,1.0756,2.27972e+07,2.27972,11.5144,0.79,"16,48"
vib_new_58,12276,50x50,0.75,N/A,N/A,N/A,N/A,360637,1.47946,1.0756,2.25359e+07,2.25359,11.3132,0.91,"24,23"
vib_new_858,12276,50x50,0.75,N/A,N/A,N/A,N/A,231407,1.47946,1.0756,3.72020e+07,3.72020,10.1645,0.56,"30,20"
vib_new_246,12276,50x50,0.75,N/A,N/A,N/A,N/A,279388,1.47946,1.0756,2.52541e+07,2.52541,10.7745,0.65,"31,15"
vib_new_1301,12276,50x50,0.75,N/A,N/A,N/A,N/A,271106,1.47946,1.0756,2.87074e+07,2.87074,9.46464,0.6,"27,23"
vib_new_850,12276,50x50,0.75,N/A,N/A,N/A,N/A,270586,1.47946,1.0756,2.37152e+07,2.37152,9.20841,0.86,"30,27"
vib_new_624,12276,50x50,0.75,N/A,N/A,N/A,N/A,260990,1.47946,1.0756,3.24163e+07,3.24163,10.0682,0.55,"36,12"
vib_new_750,12276,50x50,0.75,N/A,N/A,N/A,N/A,313853,1.47946,1.0756,2.38367e+07,2.38367,11.3084,0.72,"27,20"
vib_new_553,12276,50x50,0.75,N/A,N/A,N/A,N/A,293715,1.47946,1.0756,2.56211e+07,2.56211,9.09008,0.65,"26,20"
vib_new_145,12276,50x50,0.75,N/A,N/A,N/A,N/A,264655,1.47946,1.0756,3.48137e+07,3.48137,9.73806,0.55,"27,20"
